row,reason
"{'rotten_tomatoes_link': 'm/amy_schumer_growing', 'movie_title': 'Amy Schumer Growing', 'movie_info': 'Amy Schumer gives a refreshingly honest and hilarious take on marriage, pregnancy and personal growth in her new Netflix comedy special. Filmed in front of a packed house in Chicago, the comedian talks about the joys of womanhood, settling into marital bliss, and yes also you guessed it, sex!', 'critics_consensus': ""Amy Schumer's standup matures in an hour filled with concise insights into aging and matrimony, marked with only slight Growing pains as the comedian refreshes her comedic voice."", 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Amy Schumer', 'authors': 'Amy Schumer', 'actors': 'Amy Schumer', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': 60.0, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 79.0, 'tomatometer_count': 14.0, 'audience_status': 'Spilled', 'audience_rating': 9.0, 'audience_count': 158.0, 'tomatometer_top_critics_count': 6, 'tomatometer_fresh_critics_count': 11, 'tomatometer_rotten_critics_count': 3, 'ID_RT': 2711}",invalid or missing year
"{'rotten_tomatoes_link': 'm/amy_schumer_the_leather_special', 'movie_title': 'Amy Schumer: The Leather Special', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy, Television', 'directors': 'Amy Schumer', 'authors': nan, 'actors': 'Amy Schumer', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Rotten', 'tomatometer_rating': 50.0, 'tomatometer_count': 8.0, 'audience_status': 'Spilled', 'audience_rating': 5.0, 'audience_count': 797.0, 'tomatometer_top_critics_count': 4, 'tomatometer_fresh_critics_count': 4, 'tomatometer_rotten_critics_count': 4, 'ID_RT': 2712}",invalid or missing year
"{'rotten_tomatoes_link': 'm/andre_gregory_before_and_after_dinner', 'movie_title': 'André Gregory: Before and After Dinner', 'movie_info': 'New Zealand teens and an alien boy (Jane Cresswell) must use the Fire Key to save Earth from the monster Guardian.', 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Documentary, Special Interest', 'directors': 'Cindy Kleine', 'authors': nan, 'actors': 'Julie Hagerty, Wallace Shawn, George Gaynes, Cindy Kleine, Allyn Ann McLerie, Lisa Joyce, Larry Pine', 'original_release_date': '2013-04-03', 'streaming_release_date': '2017-09-13', 'runtime': 93.0, 'production_company': 'Cinema Guild', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 16, 'tomatometer_fresh_critics_count': 18, 'tomatometer_rotten_critics_count': 6, 'ID_RT': 2756}",no rating
"{'rotten_tomatoes_link': 'm/anthony_jeselnik_fire_in_the_maternity_ward', 'movie_title': 'Anthony Jeselnik: Fire in the Maternity Ward', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Marcus Raboy', 'authors': nan, 'actors': 'Anthony Jeselnik', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 80.0, 'tomatometer_count': 5.0, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 2, 'tomatometer_fresh_critics_count': 4, 'tomatometer_rotten_critics_count': 1, 'ID_RT': 2829}",invalid or missing year
"{'rotten_tomatoes_link': 'm/anthony_jeselnik_thoughts_and_prayers', 'movie_title': 'Anthony Jeselnik: Thoughts and Prayers', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Adam Dubin', 'authors': 'Anthony Jeselnik', 'actors': 'Anthony Jeselnik', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 5.0, 'audience_status': 'Upright', 'audience_rating': 100.0, 'audience_count': 14.0, 'tomatometer_top_critics_count': 0, 'tomatometer_fresh_critics_count': 5, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 2830}",invalid or missing year
"{'rotten_tomatoes_link': 'm/aziz_ansari_live_at_madison_square_garden', 'movie_title': 'Aziz Ansari: Live At Madison Square Garden', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Aziz Ansari', 'authors': 'Aziz Ansari', 'actors': 'Aziz Ansari', 'original_release_date': '2015-03-06', 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 3, 'tomatometer_fresh_critics_count': 7, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 3052}",no rating
"{'rotten_tomatoes_link': 'm/aziz_ansari_right_now', 'movie_title': 'Aziz Ansari: Right Now', 'movie_info': nan, 'critics_consensus': 'Aziz Ansari balances sharp social commentary with just enough earnest introspection to craft a special that, while not without its baggage, shows how far the comedian has come - and how far he may still have to go.', 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Spike Jonze', 'authors': 'Aziz Ansari', 'actors': 'Aziz Ansari', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Certified-Fresh', 'tomatometer_rating': 84.0, 'tomatometer_count': 31.0, 'audience_status': 'Upright', 'audience_rating': 74.0, 'audience_count': 89.0, 'tomatometer_top_critics_count': 14, 'tomatometer_fresh_critics_count': 26, 'tomatometer_rotten_critics_count': 5, 'ID_RT': 3053}",invalid or missing year
"{'rotten_tomatoes_link': 'm/bad_therapy', 'movie_title': 'Bad Therapy', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'William Teitler', 'authors': 'Nancy Doyne', 'actors': 'Alicia Silverstone, Rob Corddry, Michaela Watkins, Anna Pniowsky, Haley Joel Osment, David Paymer, Sarah Shahi, Dichen Lachman, Aisha Tyler, Ginger Gonzaga, John Ross Bowie, Flula Borg, Hannah Rose May, Erik Griffin, Chido Nwokocha, Sunkrish Bala, Angela Oh, Craig Robert Young, Paris Bravo, Lindsey Frost, Guyron D. Barnes, Valerie Hall', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Gravitas Ventures', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 4, 'tomatometer_fresh_critics_count': 1, 'tomatometer_rotten_critics_count': 11, 'ID_RT': 3130}",invalid or missing year
"{'rotten_tomatoes_link': 'm/blade_runner_1982', 'movie_title': 'Blade Runner (The Final Cut)', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'R', 'genres': 'Drama, Science Fiction & Fantasy', 'directors': 'Ridley Scott', 'authors': 'Hampton Fancher, Darryl Ponicsan', 'actors': 'Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah, M. Emmet Walsh, William Sanderson, Brion James, Joanna Cassidy, James Hong, Morgan Paull, Kevin Thompson (II), John E. Allen, Hy Pyke, Kimiko Hiroshige, Robert Okazaki, Carolyn De Mirjian, Kelly Hine, Thomas L. Hutchinson, Charles Knapp, Rose Mascari, Sharon Hesky, Steve Pope, Hiro Okazaki, Robert Reiter, Joe Turkel', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Warner Bros. Pictures', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 6, 'tomatometer_fresh_critics_count': 11, 'tomatometer_rotten_critics_count': 1, 'ID_RT': 3695}",invalid or missing year
"{'rotten_tomatoes_link': 'm/blood_paradise', 'movie_title': 'Blood Paradise', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Horror', 'directors': 'Patrick von Barkenberg', 'authors': 'Andréa Winter, Patrick von Barkenberg', 'actors': 'Andréa Winter, Patrick von Barkenberg, Christer Cavallius, Rolf Brunnström, Martina Novak, Lars Brunnström', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': nan, 'tomatometer_status': 'Rotten', 'tomatometer_rating': 40.0, 'tomatometer_count': 5.0, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 1, 'tomatometer_fresh_critics_count': 2, 'tomatometer_rotten_critics_count': 3, 'ID_RT': 3763}",invalid or missing year
"{'rotten_tomatoes_link': 'm/blur_no_distance_left_to_run', 'movie_title': 'Blur: No Distance Left to Run', 'movie_info': 'Documentary about the band Blur, which formed in London in 1989.', 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Musical & Performing Arts, Special Interest', 'directors': 'Will Lovelace, Dylan Southern (II)', 'authors': nan, 'actors': 'Damon Albarn, Graham Coxon, Alex James, Dave Rowntree, Dylan Southern (II)', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': 102.0, 'production_company': 'Adventure Pictures', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 93.0, 'tomatometer_count': 14.0, 'audience_status': 'Upright', 'audience_rating': 93.0, 'audience_count': 290.0, 'tomatometer_top_critics_count': 6, 'tomatometer_fresh_critics_count': 13, 'tomatometer_rotten_critics_count': 1, 'ID_RT': 3821}",invalid or missing year
"{'rotten_tomatoes_link': 'm/bo_burnham_make_happy', 'movie_title': 'Bo Burnham: Make Happy', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy, Musical & Performing Arts, Television', 'directors': 'Bo Burnham, Christopher Storer', 'authors': 'Bo Burnham', 'actors': 'Bo Burnham', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 6.0, 'audience_status': 'Upright', 'audience_rating': 88.0, 'audience_count': 200.0, 'tomatometer_top_critics_count': 1, 'tomatometer_fresh_critics_count': 6, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 3824}",invalid or missing year
"{'rotten_tomatoes_link': 'm/brad_paisleys_comedy_rodeo', 'movie_title': ""Brad Paisley's Comedy Rodeo"", 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Jay Chapman', 'authors': 'Nate Bargatze, David Wild', 'actors': 'Brad Paisley, Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana, Mike Winfield', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 60.0, 'tomatometer_count': 5.0, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 2, 'tomatometer_fresh_critics_count': 3, 'tomatometer_rotten_critics_count': 2, 'ID_RT': 3951}",invalid or missing year
"{'rotten_tomatoes_link': 'm/cargo_2018', 'movie_title': 'Cargo', 'movie_info': nan, 'critics_consensus': ""Cargo takes a refreshingly character-driven approach to the zombie genre that's further distinguished by its Australian setting and Martin Freeman's terrific lead performance."", 'content_rating': 'NR', 'genres': 'Drama, Mystery & Suspense', 'directors': 'Yolanda Ramke, Ben Howling', 'authors': 'Yolanda Ramke', 'actors': 'Martin Freeman, Natasha Wanganeen, David Gulpilil, Anthony Hayes, Susie Porter, Caren Pistorius, Kris McQuade, Simone Landers', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Certified-Fresh', 'tomatometer_rating': 88.0, 'tomatometer_count': 75.0, 'audience_status': 'Upright', 'audience_rating': 65.0, 'audience_count': 1670.0, 'tomatometer_top_critics_count': 12, 'tomatometer_fresh_critics_count': 66, 'tomatometer_rotten_critics_count': 9, 'ID_RT': 4315}",invalid or missing year
"{'rotten_tomatoes_link': 'm/carmen_and_lola', 'movie_title': 'Carmen & Lola (Carmen y Lola)', 'movie_info': 'Eva and Lola are close friends with different views.', 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Drama', 'directors': 'Arantxa Echevarria', 'authors': 'Arantxa Echevarria', 'actors': 'Rosy Rodriguez, Zaira Morales, Moreno Borja, Rafaela León, Carolina Yuste', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': 87.0, 'production_company': 'HBO Max', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 89.0, 'tomatometer_count': 19.0, 'audience_status': 'Spilled', 'audience_rating': 59.0, 'audience_count': 46.0, 'tomatometer_top_critics_count': 2, 'tomatometer_fresh_critics_count': 17, 'tomatometer_rotten_critics_count': 2, 'ID_RT': 4319}",invalid or missing year
"{'rotten_tomatoes_link': 'm/catwalk_tales_from_the_cat_show_circuit', 'movie_title': 'Catwalk: Tales From The Cat Show Circuit', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Documentary', 'directors': 'Michael McNamara, Aaron Hancox', 'authors': 'Michael McNamara', 'actors': nan, 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': nan, 'tomatometer_status': 'Fresh', 'tomatometer_rating': 80.0, 'tomatometer_count': 5.0, 'audience_status': 'Upright', 'audience_rating': 75.0, 'audience_count': 20.0, 'tomatometer_top_critics_count': 2, 'tomatometer_fresh_critics_count': 4, 'tomatometer_rotten_critics_count': 1, 'ID_RT': 4387}",invalid or missing year
"{'rotten_tomatoes_link': 'm/charlie_brown_christmas', 'movie_title': 'A Charlie Brown Christmas', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Animation, Comedy, Kids & Family', 'directors': 'Bill Melendez, Phil Roman', 'authors': 'Charles M. Schulz', 'actors': 'Peter Robbins, Christopher Shea, Tracy Stratford, Sally Dryer, Cathy Steinberg, Bill Melendez, Chris Doran, Karen Mendelson, Anne Altieri', 'original_release_date': '1965-01-01', 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Media Home Entertainment', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 1, 'tomatometer_fresh_critics_count': 15, 'tomatometer_rotten_critics_count': 1, 'ID_RT': 4450}",no rating
"{'rotten_tomatoes_link': 'm/chelsea_peretti_one_of_the_greats', 'movie_title': 'Chelsea Peretti: One of the Greats', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Lance Bangs', 'authors': 'Chelsea Peretti', 'actors': 'Chelsea Peretti', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 7.0, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 4, 'tomatometer_fresh_critics_count': 7, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 4494}",invalid or missing year
"{'rotten_tomatoes_link': 'm/chris_rock_tamborine', 'movie_title': 'Chris Rock: Tamborine', 'movie_info': nan, 'critics_consensus': ""Chris Rock reasserts his credentials as one of comedy's preeminent figures in Tamborine, an introspective standup act delivered with fresh sensitivity and trademark exuberance."", 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Bo Burnham', 'authors': 'Chris Rock', 'actors': 'Chris Rock', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Certified-Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 23.0, 'audience_status': 'Spilled', 'audience_rating': 36.0, 'audience_count': 288.0, 'tomatometer_top_critics_count': 12, 'tomatometer_fresh_critics_count': 23, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 4568}",invalid or missing year
